id,idade,ocupacao,estado_civil,escolaridade,inadimplencia,saldo_medio,deposito_prazo,emprestimo_habitacional,emprestimo_pessoal,meio_contato,dia_contato,mes_contato,duracao_contato,quantidade_contato,quantidade_dias_contato,quantidade_contato,resultado
73,41,operario,divorciado,fundamental,nao,-233,sim,sim,nao,desconhecido,15,maio,19,2,-1,0,desconhecido
74,41,operario,casado,fundamental,nao,2453,sim,sim,nao,desconhecido,15,maio,18,1,-1,0,desconhecido
75,42,tecnico,solteiro,medio,nao,1364,sim,sim,nao,desconhecido,15,maio,31,6,-1,0,desconhecido
76,36,servicos,solteiro,superior,nao,281,sim,sim,nao,desconhecido,16,maio,9,1,-1,0,desconhecido
77,39,tecnico,casado,superior,nao,94,sim,sim,sim,desconhecido,16,maio,14,1,-1,0,desconhecido
78,31,operario,solteiro,superior,nao,144,sim,sim,nao,desconhecido,16,maio,11,1,-1,0,desconhecido
79,26,operario,casado,medio,nao,246,sim,sim,nao,desconhecido,16,maio,19,3,-1,0,desconhecido
80,31,operario,casado,medio,nao,92,sim,sim,nao,desconhecido,16,maio,11,1,-1,0,desconhecido
81,29,administracao,solteiro,medio,nao,163,sim,sim,sim,desconhecido,16,maio,13,1,-1,0,desconhecido
82,37,servicos,divorciado,medio,nao,49,sim,sim,nao,desconhecido,16,maio,10,2,-1,0,desconhecido
83,33,operario,solteiro,medio,nao,-416,sim,sim,nao,desconhecido,16,maio,13,2,-1,0,desconhecido
84,24,tecnico,solteiro,medio,nao,409,sim,sim,nao,desconhecido,16,maio,15,1,-1,0,desconhecido
85,50,administracao,divorciado,medio,nao,363,sim,sim,nao,desconhecido,16,maio,22,1,-1,0,desconhecido
86,27,tecnico,solteiro,superior,nao,3706,sim,sim,nao,desconhecido,16,maio,15,1,-1,0,desconhecido
87,54,gestao,solteiro,superior,nao,4393,sim,sim,nao,desconhecido,16,maio,22,3,-1,0,desconhecido
88,30,tecnico,solteiro,medio,nao,863,sim,sim,nao,desconhecido,16,maio,20,5,-1,0,desconhecido
89,34,operario,casado,fundamental,nao,695,sim,sim,sim,desconhecido,16,maio,18,4,-1,0,desconhecido
90,37,gestao,solteiro,medio,nao,792,sim,sim,nao,desconhecido,16,maio,20,4,-1,0,desconhecido
91,41,administracao,solteiro,medio,nao,1020,sim,sim,nao,desconhecido,19,maio,15,1,-1,0,desconhecido
92,47,operario,casado,medio,nao,863,sim,sim,nao,desconhecido,19,maio,16,2,-1,0,desconhecido
93,31,administracao,casado,medio,nao,97,sim,sim,nao,desconhecido,19,maio,10,1,-1,0,desconhecido
94,31,operario,casado,medio,nao,754,sim,sim,nao,desconhecido,19,maio,17,4,-1,0,desconhecido
95,43,servicos,divorciado,medio,nao,1040,sim,sim,nao,desconhecido,19,maio,9,3,-1,0,desconhecido
96,37,gestao,divorciado,superior,nao,122,sim,sim,nao,desconhecido,19,maio,27,2,-1,0,desconhecido
97,30,tecnico,solteiro,superior,nao,880,sim,sim,sim,desconhecido,19,maio,16,6,-1,0,desconhecido
98,41,tecnico,casado,medio,nao,501,sim,sim,nao,desconhecido,19,maio,10,5,-1,0,desconhecido
99,36,operario,casado,medio,nao,4438,sim,sim,nao,desconhecido,20,maio,7,1,-1,0,desconhecido
100,35,operario,divorciado,medio,nao,0,sim,sim,nao,desconhecido,20,maio,20,1,-1,0,desconhecido
101,29,servicos,solteiro,medio,nao,271,sim,sim,nao,desconhecido,20,maio,31,2,-1,0,desconhecido
102,35,operario,casado,fundamental,nao,102,sim,sim,nao,desconhecido,20,maio,22,1,-1,0,desconhecido
103,31,operario,casado,medio,nao,2,sim,sim,nao,desconhecido,20,maio,3,2,-1,0,desconhecido
104,35,servicos,casado,medio,nao,4170,sim,sim,nao,desconhecido,20,maio,30,1,-1,0,desconhecido
105,34,tecnico,solteiro,medio,nao,85,sim,sim,nao,desconhecido,20,maio,20,4,-1,0,desconhecido
106,31,administracao,solteiro,medio,nao,431,sim,sim,sim,desconhecido,20,maio,17,1,-1,0,desconhecido
107,44,tecnico,divorciado,medio,nao,982,sim,sim,nao,desconhecido,20,maio,11,3,-1,0,desconhecido
108,36,operario,casado,fundamental,nao,408,sim,sim,sim,desconhecido,20,maio,18,2,-1,0,desconhecido
109,35,operario,casado,superior,nao,4822,sim,sim,nao,desconhecido,20,maio,14,2,-1,0,desconhecido
110,41,operario,casado,fundamental,nao,1250,sim,sim,nao,desconhecido,20,maio,23,2,-1,0,desconhecido
111,31,operario,solteiro,fundamental,nao,216,sim,sim,nao,desconhecido,21,maio,9,1,-1,0,desconhecido
112,34,operario,casado,medio,nao,1207,sim,sim,nao,desconhecido,21,maio,15,1,-1,0,desconhecido
113,32,tecnico,casado,medio,nao,791,sim,sim,nao,desconhecido,21,maio,13,2,-1,0,desconhecido
114,36,gestao,casado,superior,nao,849,sim,sim,sim,desconhecido,21,maio,16,2,-1,0,desconhecido
115,30,operario,solteiro,medio,sim,239,sim,sim,nao,desconhecido,21,maio,7,1,-1,0,desconhecido
116,37,tecnico,solteiro,medio,nao,1211,sim,sim,nao,desconhecido,21,maio,13,1,-1,0,desconhecido
117,36,operario,casado,fundamental,nao,599,sim,sim,nao,desconhecido,21,maio,11,2,-1,0,desconhecido
118,31,gestao,solteiro,superior,nao,825,sim,sim,nao,desconhecido,21,maio,8,2,-1,0,desconhecido
119,27,tecnico,casado,medio,nao,2183,sim,sim,sim,desconhecido,21,maio,14,1,-1,0,desconhecido
120,34,operario,casado,fundamental,nao,4499,sim,nao,nao,desconhecido,21,maio,28,1,-1,0,desconhecido
121,30,tecnico,solteiro,superior,nao,1289,sim,sim,nao,desconhecido,21,maio,28,2,-1,0,desconhecido
122,32,tecnico,solteiro,superior,nao,4665,sim,sim,nao,desconhecido,21,maio,14,2,-1,0,desconhecido
123,37,tecnico,solteiro,medio,nao,3326,sim,sim,nao,desconhecido,21,maio,13,1,-1,0,desconhecido
124,32,operario,casado,medio,nao,783,sim,sim,nao,desconhecido,21,maio,15,3,-1,0,desconhecido
125,33,operario,casado,medio,nao,0,sim,sim,nao,desconhecido,21,maio,9,3,-1,0,desconhecido
126,35,operario,casado,fundamental,nao,994,sim,sim,nao,desconhecido,23,maio,22,8,-1,0,desconhecido
127,35,operario,divorciado,superior,nao,1354,sim,sim,nao,desconhecido,23,maio,12,2,-1,0,desconhecido
128,30,operario,solteiro,medio,nao,239,sim,sim,nao,desconhecido,23,maio,13,1,-1,0,desconhecido
129,45,operario,divorciado,fundamental,nao,-311,sim,sim,nao,desconhecido,23,maio,17,1,-1,0,desconhecido
130,45,administracao,casado,medio,nao,149,sim,sim,nao,desconhecido,23,maio,15,3,-1,0,desconhecido
131,33,operario,casado,medio,nao,1464,sim,sim,nao,desconhecido,23,maio,10,3,-1,0,desconhecido
132,44,gestao,divorciado,superior,nao,5773,sim,nao,nao,desconhecido,23,maio,10,6,-1,0,desconhecido
133,40,operario,casado,fundamental,nao,278,sim,sim,nao,desconhecido,23,maio,17,3,-1,0,desconhecido
134,31,operario,casado,medio,nao,2910,sim,sim,nao,desconhecido,23,maio,23,2,-1,0,desconhecido
135,30,tecnico,casado,superior,nao,541,sim,sim,nao,desconhecido,26,maio,7,2,-1,0,desconhecido
136,44,tecnico,divorciado,medio,nao,1262,sim,sim,nao,desconhecido,26,maio,13,11,-1,0,desconhecido
137,34,servicos,casado,medio,nao,-538,sim,sim,nao,desconhecido,26,maio,11,1,-1,0,desconhecido
138,37,operario,casado,medio,nao,125,sim,nao,nao,desconhecido,26,maio,11,2,-1,0,desconhecido
139,28,operario,solteiro,superior,nao,0,sim,sim,nao,desconhecido,26,maio,26,2,-1,0,desconhecido
140,32,administracao,solteiro,medio,nao,620,sim,sim,nao,desconhecido,26,maio,21,3,-1,0,desconhecido
141,37,operario,divorciado,medio,nao,316,sim,sim,nao,desconhecido,26,maio,11,2,-1,0,desconhecido
142,34,gestao,casado,superior,nao,2287,sim,sim,nao,desconhecido,26,maio,15,4,-1,0,desconhecido
143,38,administracao,divorciado,medio,nao,198,sim,sim,nao,desconhecido,26,maio,7,2,-1,0,desconhecido
144,28,administracao,solteiro,medio,nao,460,sim,sim,nao,desconhecido,26,maio,12,6,-1,0,desconhecido
145,31,gestao,divorciado,superior,nao,1145,sim,sim,nao,desconhecido,26,maio,21,4,-1,0,desconhecido
146,59,servicos,casado,medio,nao,-22,sim,sim,nao,desconhecido,26,maio,12,3,-1,0,desconhecido
147,24,operario,casado,medio,nao,685,sim,sim,nao,desconhecido,26,maio,15,3,-1,0,desconhecido
148,26,servicos,solteiro,medio,nao,901,sim,sim,nao,desconhecido,26,maio,13,2,-1,0,desconhecido
149,59,operario,solteiro,medio,nao,351,sim,sim,nao,desconhecido,27,maio,18,5,-1,0,desconhecido
150,30,operario,solteiro,fundamental,nao,0,sim,sim,sim,desconhecido,27,maio,18,1,-1,0,desconhecido
151,37,administracao,casado,medio,nao,274,sim,sim,nao,desconhecido,27,maio,12,3,-1,0,desconhecido
152,30,administracao,solteiro,medio,nao,-213,sim,sim,sim,desconhecido,27,maio,13,1,-1,0,desconhecido
153,25,operario,casado,medio,nao,97,sim,sim,nao,desconhecido,27,maio,12,1,-1,0,desconhecido
154,44,servicos,divorciado,medio,nao,51,sim,sim,sim,desconhecido,27,maio,52,2,-1,0,desconhecido
155,29,gestao,casado,superior,nao,314,sim,nao,nao,desconhecido,28,maio,16,2,-1,0,desconhecido
156,26,gestao,solteiro,superior,nao,6840,sim,sim,nao,desconhecido,28,maio,26,2,-1,0,desconhecido
157,26,tecnico,solteiro,medio,nao,668,sim,sim,nao,desconhecido,28,maio,10,3,-1,0,desconhecido
158,27,servicos,solteiro,medio,nao,54,sim,sim,nao,desconhecido,28,maio,9,2,-1,0,desconhecido
159,25,operario,solteiro,medio,nao,1242,sim,sim,nao,desconhecido,28,maio,10,2,-1,0,desconhecido
160,28,gestao,casado,medio,nao,292,sim,sim,nao,desconhecido,28,maio,8,1,-1,0,desconhecido
161,23,servicos,solteiro,medio,nao,665,sim,sim,nao,desconhecido,28,maio,20,1,-1,0,desconhecido
162,34,gestao,solteiro,superior,nao,1058,sim,sim,nao,desconhecido,28,maio,14,2,-1,0,desconhecido
163,28,operario,solteiro,medio,nao,949,sim,sim,nao,desconhecido,28,maio,29,1,-1,0,desconhecido
164,51,operario,casado,superior,nao,606,sim,sim,nao,desconhecido,28,maio,9,9,-1,0,desconhecido
165,35,operario,casado,medio,nao,0,sim,sim,sim,desconhecido,29,maio,9,1,-1,0,desconhecido
166,35,administracao,casado,medio,nao,404,sim,sim,nao,desconhecido,29,maio,9,1,-1,0,desconhecido
167,56,operario,casado,medio,nao,249,sim,sim,nao,desconhecido,29,maio,13,2,-1,0,desconhecido
168,45,operario,divorciado,medio,nao,3354,sim,sim,nao,desconhecido,29,maio,12,1,-1,0,desconhecido
169,60,operario,divorciado,medio,nao,0,sim,sim,nao,desconhecido,29,maio,20,1,-1,0,desconhecido
170,56,tecnico,casado,medio,nao,589,sim,sim,nao,desconhecido,29,maio,9,2,-1,0,desconhecido
171,27,gestao,solteiro,superior,nao,12956,sim,sim,nao,desconhecido,29,maio,13,3,-1,0,desconhecido
172,30,administracao,casado,medio,nao,873,sim,sim,nao,desconhecido,29,maio,13,3,-1,0,desconhecido
173,45,operario,divorciado,fundamental,nao,594,sim,sim,nao,desconhecido,29,maio,14,2,-1,0,desconhecido
174,29,operario,solteiro,medio,nao,-20,sim,sim,nao,desconhecido,29,maio,14,2,-1,0,desconhecido
175,38,gestao,divorciado,superior,nao,4692,sim,sim,nao,desconhecido,29,maio,23,2,-1,0,desconhecido
176,30,operario,casado,medio,nao,486,sim,sim,nao,desconhecido,29,maio,18,3,-1,0,desconhecido
177,44,operario,solteiro,fundamental,nao,1593,sim,sim,nao,desconhecido,29,maio,14,3,-1,0,desconhecido
178,36,gestao,solteiro,superior,nao,7606,sim,sim,nao,desconhecido,30,maio,15,1,-1,0,desconhecido
179,38,tecnico,casado,medio,nao,226,sim,sim,nao,desconhecido,30,maio,13,3,-1,0,desconhecido
180,36,operario,solteiro,medio,nao,366,sim,sim,sim,desconhecido,30,maio,19,2,-1,0,desconhecido
181,37,gestao,divorciado,medio,nao,16,sim,sim,nao,desconhecido,30,maio,11,1,-1,0,desconhecido
182,35,gestao,solteiro,superior,nao,565,sim,sim,nao,desconhecido,30,maio,13,1,-1,0,desconhecido
183,38,administracao,divorciado,medio,nao,19,sim,sim,nao,desconhecido,30,maio,10,2,-1,0,desconhecido
184,40,servicos,casado,fundamental,nao,1082,sim,sim,nao,desconhecido,30,maio,14,2,-1,0,desconhecido
185,42,operario,divorciado,medio,nao,1713,sim,sim,nao,desconhecido,30,maio,14,2,-1,0,desconhecido
186,46,gestao,divorciado,superior,nao,14481,sim,sim,nao,desconhecido,30,maio,21,1,-1,0,desconhecido
187,35,tecnico,divorciado,medio,nao,5724,sim,sim,nao,desconhecido,30,maio,12,10,-1,0,desconhecido
188,34,tecnico,divorciado,medio,nao,1451,sim,sim,nao,desconhecido,30,maio,18,15,-1,0,desconhecido
189,32,servicos,casado,medio,nao,-34,sim,sim,nao,desconhecido,30,maio,21,2,-1,0,desconhecido
190,50,operario,casado,medio,nao,3674,sim,sim,nao,desconhecido,30,maio,15,3,-1,0,desconhecido
191,35,operario,casado,medio,nao,698,sim,sim,sim,desconhecido,30,maio,22,3,-1,0,desconhecido
192,36,tecnico,solteiro,medio,nao,4136,sim,sim,nao,desconhecido,30,maio,14,3,-1,0,desconhecido
193,53,operario,divorciado,fundamental,nao,2656,sim,sim,nao,desconhecido,30,maio,33,2,-1,0,desconhecido
194,46,gestao,solteiro,superior,nao,2904,sim,sim,nao,desconhecido,30,maio,16,2,-1,0,desconhecido
195,26,gestao,solteiro,superior,nao,1004,sim,sim,nao,desconhecido,30,maio,4,2,-1,0,desconhecido
196,45,tecnico,solteiro,medio,nao,410,sim,sim,nao,desconhecido,30,maio,15,4,-1,0,desconhecido
197,31,operario,divorciado,fundamental,nao,0,sim,sim,nao,desconhecido,30,maio,12,12,-1,0,desconhecido
198,29,gestao,solteiro,superior,nao,0,sim,sim,nao,desconhecido,30,maio,9,12,-1,0,desconhecido
199,53,operario,solteiro,medio,nao,62,sim,sim,nao,desconhecido,30,maio,17,5,-1,0,desconhecido
200,27,operario,casado,fundamental,nao,416,sim,sim,nao,desconhecido,30,maio,20,2,-1,0,desconhecido
201,39,gestao,casado,superior,nao,2763,sim,sim,nao,desconhecido,2,junho,9,2,-1,0,desconhecido
202,36,servicos,casado,medio,nao,2984,sim,sim,nao,desconhecido,2,junho,7,1,-1,0,desconhecido
203,41,operario,casado,fundamental,nao,143,sim,sim,sim,desconhecido,2,junho,11,2,-1,0,desconhecido
204,36,servicos,casado,fundamental,nao,0,sim,sim,nao,desconhecido,2,junho,17,1,-1,0,desconhecido
205,32,tecnico,casado,medio,nao,696,sim,sim,nao,desconhecido,2,junho,14,1,-1,0,desconhecido
206,35,servicos,casado,medio,nao,152,sim,sim,nao,desconhecido,2,junho,9,1,-1,0,desconhecido
207,36,gestao,solteiro,superior,nao,-78,sim,sim,nao,desconhecido,2,junho,18,1,-1,0,desconhecido
208,35,gestao,casado,superior,nao,867,sim,sim,nao,desconhecido,2,junho,4,3,-1,0,desconhecido
209,30,operario,solteiro,medio,nao,953,sim,sim,nao,desconhecido,2,junho,12,2,-1,0,desconhecido
210,42,operario,casado,medio,nao,443,sim,sim,nao,desconhecido,2,junho,11,5,-1,0,desconhecido
211,42,tecnico,solteiro,medio,sim,-1129,sim,sim,nao,desconhecido,2,junho,9,5,-1,0,desconhecido
212,32,operario,casado,fundamental,nao,415,sim,sim,nao,desconhecido,2,junho,13,4,-1,0,desconhecido
213,29,operario,solteiro,medio,nao,260,sim,sim,nao,desconhecido,2,junho,12,14,-1,0,desconhecido
214,44,gestao,divorciado,superior,sim,-411,sim,sim,nao,desconhecido,2,junho,7,4,-1,0,desconhecido
215,32,tecnico,solteiro,medio,nao,1279,sim,sim,nao,desconhecido,3,junho,20,3,-1,0,desconhecido
216,31,operario,casado,medio,nao,86,sim,sim,sim,desconhecido,3,junho,16,2,-1,0,desconhecido
217,40,operario,casado,medio,sim,-754,sim,sim,sim,desconhecido,3,junho,16,3,-1,0,desconhecido
218,43,operario,casado,medio,nao,0,sim,nao,nao,desconhecido,3,junho,17,7,-1,0,desconhecido
219,27,gestao,solteiro,medio,nao,178,sim,sim,nao,desconhecido,3,junho,12,2,-1,0,desconhecido
220,37,servicos,solteiro,medio,nao,278,sim,sim,nao,desconhecido,3,junho,17,3,-1,0,desconhecido
221,23,servicos,solteiro,medio,nao,425,sim,sim,nao,desconhecido,3,junho,13,1,-1,0,desconhecido
222,25,gestao,casado,fundamental,nao,168,sim,sim,nao,desconhecido,3,junho,13,1,-1,0,desconhecido
223,26,operario,solteiro,medio,sim,-36,sim,sim,nao,desconhecido,3,junho,8,2,-1,0,desconhecido
224,47,operario,divorciado,fundamental,nao,126,sim,sim,nao,desconhecido,3,junho,41,2,-1,0,desconhecido
225,35,administracao,casado,medio,nao,-87,sim,sim,nao,desconhecido,3,junho,23,7,-1,0,desconhecido
226,32,tecnico,solteiro,superior,nao,6281,sim,sim,nao,desconhecido,3,junho,22,4,-1,0,desconhecido
227,45,gestao,divorciado,medio,nao,644,sim,sim,nao,desconhecido,4,junho,11,1,-1,0,desconhecido
228,30,administracao,divorciado,medio,nao,377,sim,sim,nao,desconhecido,4,junho,9,15,-1,0,desconhecido
229,29,servicos,solteiro,medio,nao,-271,sim,sim,nao,desconhecido,4,junho,10,1,-1,0,desconhecido
230,38,operario,casado,fundamental,nao,5839,sim,sim,nao,desconhecido,4,junho,16,2,-1,0,desconhecido
231,23,operario,solteiro,medio,nao,492,sim,sim,nao,desconhecido,4,junho,11,1,-1,0,desconhecido
232,27,gestao,solteiro,superior,nao,99,sim,sim,nao,desconhecido,4,junho,13,2,-1,0,desconhecido
233,27,gestao,solteiro,superior,sim,-713,sim,sim,nao,desconhecido,4,junho,9,2,-1,0,desconhecido
234,29,servicos,solteiro,medio,nao,32,sim,sim,nao,desconhecido,4,junho,9,1,-1,0,desconhecido
235,30,operario,casado,superior,nao,543,sim,sim,sim,desconhecido,4,junho,24,6,-1,0,desconhecido
236,36,operario,casado,fundamental,nao,403,sim,sim,nao,desconhecido,4,junho,15,1,-1,0,desconhecido
237,35,administracao,divorciado,medio,nao,437,sim,sim,nao,desconhecido,4,junho,15,1,-1,0,desconhecido
238,36,operario,casado,medio,nao,1772,sim,nao,nao,desconhecido,5,junho,3,1,-1,0,desconhecido
239,59,operario,divorciado,fundamental,nao,-88,sim,sim,nao,desconhecido,5,junho,15,2,-1,0,desconhecido
240,47,operario,casado,medio,nao,0,sim,nao,nao,desconhecido,5,junho,24,1,-1,0,desconhecido
241,58,operario,casado,superior,nao,853,sim,nao,nao,desconhecido,5,junho,19,2,-1,0,desconhecido
242,37,gestao,solteiro,superior,nao,240,sim,nao,nao,desconhecido,5,junho,19,1,-1,0,desconhecido
243,46,administracao,solteiro,medio,nao,849,sim,sim,nao,desconhecido,5,junho,8,2,-1,0,desconhecido
244,43,operario,solteiro,medio,nao,318,sim,sim,nao,desconhecido,5,junho,12,2,-1,0,desconhecido
245,27,gestao,solteiro,superior,nao,703,sim,sim,nao,desconhecido,5,junho,10,3,-1,0,desconhecido
246,38,servicos,divorciado,medio,nao,61,sim,nao,nao,desconhecido,5,junho,11,1,-1,0,desconhecido
247,53,operario,casado,fundamental,nao,104,sim,nao,sim,desconhecido,5,junho,12,1,-1,0,desconhecido
