id,idade,ocupacao,estado_civil,escolaridade,inadimplencia,deposito_prazo,saldo_medio,emprestimo_habitacional,emprestimo_pessoal,meio_contato,dia_contato,mes_contato,duracao_contato,quantidade_contato_atual,quantidade_dias_contato,quantidade_contato_anterior,resultado
58,60,operario,casado,fundamental,nao,sim,1542,sim,nao,desconhecido,14,maio,16,1,-1,0,desconhecido
59,40,tecnico,solteiro,superior,nao,sim,3652,sim,nao,desconhecido,14,maio,17,2,-1,0,desconhecido
60,57,tecnico,casado,superior,nao,sim,-1,nao,nao,desconhecido,14,maio,14,2,-1,0,desconhecido
61,51,operario,casado,medio,nao,sim,7180,sim,nao,desconhecido,14,maio,15,1,-1,0,desconhecido
62,41,operario,divorciado,medio,nao,sim,5291,sim,nao,desconhecido,14,maio,24,3,-1,0,desconhecido
63,41,operario,casado,medio,nao,sim,1384,sim,nao,desconhecido,15,maio,19,4,-1,0,desconhecido
64,52,operario,divorciado,fundamental,nao,sim,-191,sim,nao,desconhecido,15,maio,13,1,-1,0,desconhecido
65,59,operario,casado,fundamental,nao,sim,320,sim,nao,desconhecido,15,maio,12,1,-1,0,desconhecido
66,44,operario,casado,superior,nao,sim,146,sim,nao,desconhecido,15,maio,8,1,-1,0,desconhecido
67,49,operario,casado,fundamental,nao,sim,341,sim,sim,desconhecido,15,maio,9,2,-1,0,desconhecido
68,40,servicos,casado,fundamental,nao,sim,-9,sim,nao,desconhecido,15,maio,15,2,-1,0,desconhecido
69,41,administracao,casado,fundamental,nao,sim,-306,sim,nao,desconhecido,15,maio,8,1,-1,0,desconhecido
70,44,tecnico,casado,superior,nao,sim,4580,sim,nao,desconhecido,15,maio,15,2,-1,0,desconhecido
71,60,servicos,solteiro,fundamental,nao,sim,313,sim,nao,desconhecido,15,maio,15,2,-1,0,desconhecido
72,29,gestao,casado,superior,nao,sim,10576,nao,nao,desconhecido,15,maio,20,2,-1,0,desconhecido
73,41,operario,divorciado,fundamental,nao,sim,-233,sim,nao,desconhecido,15,maio,19,2,-1,0,desconhecido
74,41,operario,casado,fundamental,nao,sim,2453,sim,nao,desconhecido,15,maio,18,1,-1,0,desconhecido
75,42,tecnico,solteiro,medio,nao,sim,1364,sim,nao,desconhecido,15,maio,31,6,-1,0,desconhecido
76,36,servicos,solteiro,superior,nao,sim,281,sim,nao,desconhecido,16,maio,9,1,-1,0,desconhecido
77,39,tecnico,casado,superior,nao,sim,94,sim,sim,desconhecido,16,maio,14,1,-1,0,desconhecido
78,31,operario,solteiro,superior,nao,sim,144,sim,nao,desconhecido,16,maio,11,1,-1,0,desconhecido
79,26,operario,casado,medio,nao,sim,246,sim,nao,desconhecido,16,maio,19,3,-1,0,desconhecido
80,31,operario,casado,medio,nao,sim,92,sim,nao,desconhecido,16,maio,11,1,-1,0,desconhecido
81,29,administracao,solteiro,medio,nao,sim,163,sim,sim,desconhecido,16,maio,13,1,-1,0,desconhecido
82,37,servicos,divorciado,medio,nao,sim,49,sim,nao,desconhecido,16,maio,10,2,-1,0,desconhecido
83,33,operario,solteiro,medio,nao,sim,-416,sim,nao,desconhecido,16,maio,13,2,-1,0,desconhecido
84,24,tecnico,solteiro,medio,nao,sim,409,sim,nao,desconhecido,16,maio,15,1,-1,0,desconhecido
85,50,administracao,divorciado,medio,nao,sim,363,sim,nao,desconhecido,16,maio,22,1,-1,0,desconhecido
86,27,tecnico,solteiro,superior,nao,sim,3706,sim,nao,desconhecido,16,maio,15,1,-1,0,desconhecido
87,54,gestao,solteiro,superior,nao,sim,4393,sim,nao,desconhecido,16,maio,22,3,-1,0,desconhecido
88,30,tecnico,solteiro,medio,nao,sim,863,sim,nao,desconhecido,16,maio,20,5,-1,0,desconhecido
89,34,operario,casado,fundamental,nao,sim,695,sim,sim,desconhecido,16,maio,18,4,-1,0,desconhecido
90,37,gestao,solteiro,medio,nao,sim,792,sim,nao,desconhecido,16,maio,20,4,-1,0,desconhecido
91,41,administracao,solteiro,medio,nao,sim,1020,sim,nao,desconhecido,19,maio,15,1,-1,0,desconhecido
92,47,operario,casado,medio,nao,sim,863,sim,nao,desconhecido,19,maio,16,2,-1,0,desconhecido
93,31,administracao,casado,medio,nao,sim,97,sim,nao,desconhecido,19,maio,10,1,-1,0,desconhecido
94,31,operario,casado,medio,nao,sim,754,sim,nao,desconhecido,19,maio,17,4,-1,0,desconhecido
95,43,servicos,divorciado,medio,nao,sim,1040,sim,nao,desconhecido,19,maio,9,3,-1,0,desconhecido
96,37,gestao,divorciado,superior,nao,sim,122,sim,nao,desconhecido,19,maio,27,2,-1,0,desconhecido
97,30,tecnico,solteiro,superior,nao,sim,880,sim,sim,desconhecido,19,maio,16,6,-1,0,desconhecido
98,41,tecnico,casado,medio,nao,sim,501,sim,nao,desconhecido,19,maio,10,5,-1,0,desconhecido
99,36,operario,casado,medio,nao,sim,4438,sim,nao,desconhecido,20,maio,7,1,-1,0,desconhecido
100,35,operario,divorciado,medio,nao,sim,0,sim,nao,desconhecido,20,maio,20,1,-1,0,desconhecido
101,29,servicos,solteiro,medio,nao,sim,271,sim,nao,desconhecido,20,maio,31,2,-1,0,desconhecido
102,35,operario,casado,fundamental,nao,sim,102,sim,nao,desconhecido,20,maio,22,1,-1,0,desconhecido
103,31,operario,casado,medio,nao,sim,2,sim,nao,desconhecido,20,maio,3,2,-1,0,desconhecido
104,35,servicos,casado,medio,nao,sim,4170,sim,nao,desconhecido,20,maio,30,1,-1,0,desconhecido
105,34,tecnico,solteiro,medio,nao,sim,85,sim,nao,desconhecido,20,maio,20,4,-1,0,desconhecido
106,31,administracao,solteiro,medio,nao,sim,431,sim,sim,desconhecido,20,maio,17,1,-1,0,desconhecido
107,44,tecnico,divorciado,medio,nao,sim,982,sim,nao,desconhecido,20,maio,11,3,-1,0,desconhecido
108,36,operario,casado,fundamental,nao,sim,408,sim,sim,desconhecido,20,maio,18,2,-1,0,desconhecido
109,35,operario,casado,superior,nao,sim,4822,sim,nao,desconhecido,20,maio,14,2,-1,0,desconhecido
110,41,operario,casado,fundamental,nao,sim,1250,sim,nao,desconhecido,20,maio,23,2,-1,0,desconhecido
111,31,operario,solteiro,fundamental,nao,sim,216,sim,nao,desconhecido,21,maio,9,1,-1,0,desconhecido
112,34,operario,casado,medio,nao,sim,1207,sim,nao,desconhecido,21,maio,15,1,-1,0,desconhecido
113,32,tecnico,casado,medio,nao,sim,791,sim,nao,desconhecido,21,maio,13,2,-1,0,desconhecido
114,36,gestao,casado,superior,nao,sim,849,sim,sim,desconhecido,21,maio,16,2,-1,0,desconhecido
115,30,operario,solteiro,medio,sim,sim,239,sim,nao,desconhecido,21,maio,7,1,-1,0,desconhecido
116,37,tecnico,solteiro,medio,nao,sim,1211,sim,nao,desconhecido,21,maio,13,1,-1,0,desconhecido
117,36,operario,casado,fundamental,nao,sim,599,sim,nao,desconhecido,21,maio,11,2,-1,0,desconhecido
118,31,gestao,solteiro,superior,nao,sim,825,sim,nao,desconhecido,21,maio,8,2,-1,0,desconhecido
119,27,tecnico,casado,medio,nao,sim,2183,sim,sim,desconhecido,21,maio,14,1,-1,0,desconhecido
120,34,operario,casado,fundamental,nao,sim,4499,nao,nao,desconhecido,21,maio,28,1,-1,0,desconhecido
121,30,tecnico,solteiro,superior,nao,sim,1289,sim,nao,desconhecido,21,maio,28,2,-1,0,desconhecido
122,32,tecnico,solteiro,superior,nao,sim,4665,sim,nao,desconhecido,21,maio,14,2,-1,0,desconhecido
123,37,tecnico,solteiro,medio,nao,sim,3326,sim,nao,desconhecido,21,maio,13,1,-1,0,desconhecido
124,32,operario,casado,medio,nao,sim,783,sim,nao,desconhecido,21,maio,15,3,-1,0,desconhecido
125,33,operario,casado,medio,nao,sim,0,sim,nao,desconhecido,21,maio,9,3,-1,0,desconhecido
126,35,operario,casado,fundamental,nao,sim,994,sim,nao,desconhecido,23,maio,22,8,-1,0,desconhecido
127,35,operario,divorciado,superior,nao,sim,1354,sim,nao,desconhecido,23,maio,12,2,-1,0,desconhecido
128,30,operario,solteiro,medio,nao,sim,239,sim,nao,desconhecido,23,maio,13,1,-1,0,desconhecido
129,45,operario,divorciado,fundamental,nao,sim,-311,sim,nao,desconhecido,23,maio,17,1,-1,0,desconhecido
130,45,administracao,casado,medio,nao,sim,149,sim,nao,desconhecido,23,maio,15,3,-1,0,desconhecido
131,33,operario,casado,medio,nao,sim,1464,sim,nao,desconhecido,23,maio,10,3,-1,0,desconhecido
132,44,gestao,divorciado,superior,nao,sim,5773,nao,nao,desconhecido,23,maio,10,6,-1,0,desconhecido
133,40,operario,casado,fundamental,nao,sim,278,sim,nao,desconhecido,23,maio,17,3,-1,0,desconhecido
134,31,operario,casado,medio,nao,sim,2910,sim,nao,desconhecido,23,maio,23,2,-1,0,desconhecido
135,30,tecnico,casado,superior,nao,sim,541,sim,nao,desconhecido,26,maio,7,2,-1,0,desconhecido
136,44,tecnico,divorciado,medio,nao,sim,1262,sim,nao,desconhecido,26,maio,13,11,-1,0,desconhecido
137,34,servicos,casado,medio,nao,sim,-538,sim,nao,desconhecido,26,maio,11,1,-1,0,desconhecido
138,37,operario,casado,medio,nao,sim,125,nao,nao,desconhecido,26,maio,11,2,-1,0,desconhecido
139,28,operario,solteiro,superior,nao,sim,0,sim,nao,desconhecido,26,maio,26,2,-1,0,desconhecido
140,32,administracao,solteiro,medio,nao,sim,620,sim,nao,desconhecido,26,maio,21,3,-1,0,desconhecido
141,37,operario,divorciado,medio,nao,sim,316,sim,nao,desconhecido,26,maio,11,2,-1,0,desconhecido
142,34,gestao,casado,superior,nao,sim,2287,sim,nao,desconhecido,26,maio,15,4,-1,0,desconhecido
143,38,administracao,divorciado,medio,nao,sim,198,sim,nao,desconhecido,26,maio,7,2,-1,0,desconhecido
144,28,administracao,solteiro,medio,nao,sim,460,sim,nao,desconhecido,26,maio,12,6,-1,0,desconhecido
145,31,gestao,divorciado,superior,nao,sim,1145,sim,nao,desconhecido,26,maio,21,4,-1,0,desconhecido
146,59,servicos,casado,medio,nao,sim,-22,sim,nao,desconhecido,26,maio,12,3,-1,0,desconhecido
147,24,operario,casado,medio,nao,sim,685,sim,nao,desconhecido,26,maio,15,3,-1,0,desconhecido
148,26,servicos,solteiro,medio,nao,sim,901,sim,nao,desconhecido,26,maio,13,2,-1,0,desconhecido
149,59,operario,solteiro,medio,nao,sim,351,sim,nao,desconhecido,27,maio,18,5,-1,0,desconhecido
150,30,operario,solteiro,fundamental,nao,sim,0,sim,sim,desconhecido,27,maio,18,1,-1,0,desconhecido
151,37,administracao,casado,medio,nao,sim,274,sim,nao,desconhecido,27,maio,12,3,-1,0,desconhecido
152,30,administracao,solteiro,medio,nao,sim,-213,sim,sim,desconhecido,27,maio,13,1,-1,0,desconhecido
153,25,operario,casado,medio,nao,sim,97,sim,nao,desconhecido,27,maio,12,1,-1,0,desconhecido
154,44,servicos,divorciado,medio,nao,sim,51,sim,sim,desconhecido,27,maio,52,2,-1,0,desconhecido
155,29,gestao,casado,superior,nao,sim,314,nao,nao,desconhecido,28,maio,16,2,-1,0,desconhecido
156,26,gestao,solteiro,superior,nao,sim,6840,sim,nao,desconhecido,28,maio,26,2,-1,0,desconhecido
157,26,tecnico,solteiro,medio,nao,sim,668,sim,nao,desconhecido,28,maio,10,3,-1,0,desconhecido
158,27,servicos,solteiro,medio,nao,sim,54,sim,nao,desconhecido,28,maio,9,2,-1,0,desconhecido
159,25,operario,solteiro,medio,nao,sim,1242,sim,nao,desconhecido,28,maio,10,2,-1,0,desconhecido
160,28,gestao,casado,medio,nao,sim,292,sim,nao,desconhecido,28,maio,8,1,-1,0,desconhecido
161,23,servicos,solteiro,medio,nao,sim,665,sim,nao,desconhecido,28,maio,20,1,-1,0,desconhecido
162,34,gestao,solteiro,superior,nao,sim,1058,sim,nao,desconhecido,28,maio,14,2,-1,0,desconhecido
163,28,operario,solteiro,medio,nao,sim,949,sim,nao,desconhecido,28,maio,29,1,-1,0,desconhecido
164,51,operario,casado,superior,nao,sim,606,sim,nao,desconhecido,28,maio,9,9,-1,0,desconhecido
165,35,operario,casado,medio,nao,sim,0,sim,sim,desconhecido,29,maio,9,1,-1,0,desconhecido
166,35,administracao,casado,medio,nao,sim,404,sim,nao,desconhecido,29,maio,9,1,-1,0,desconhecido
167,56,operario,casado,medio,nao,sim,249,sim,nao,desconhecido,29,maio,13,2,-1,0,desconhecido
168,45,operario,divorciado,medio,nao,sim,3354,sim,nao,desconhecido,29,maio,12,1,-1,0,desconhecido
169,60,operario,divorciado,medio,nao,sim,0,sim,nao,desconhecido,29,maio,20,1,-1,0,desconhecido
170,27,gestao,solteiro,superior,nao,sim,12956,sim,nao,desconhecido,29,maio,13,3,-1,0,desconhecido
171,30,administracao,casado,medio,nao,sim,873,sim,nao,desconhecido,29,maio,13,3,-1,0,desconhecido
172,45,operario,divorciado,fundamental,nao,sim,594,sim,nao,desconhecido,29,maio,14,2,-1,0,desconhecido
173,29,operario,solteiro,medio,nao,sim,-20,sim,nao,desconhecido,29,maio,14,2,-1,0,desconhecido
174,38,gestao,divorciado,superior,nao,sim,4692,sim,nao,desconhecido,29,maio,23,2,-1,0,desconhecido
175,30,operario,casado,medio,nao,sim,486,sim,nao,desconhecido,29,maio,18,3,-1,0,desconhecido
176,44,operario,solteiro,fundamental,nao,sim,1593,sim,nao,desconhecido,29,maio,14,3,-1,0,desconhecido
177,36,gestao,solteiro,superior,nao,sim,7606,sim,nao,desconhecido,30,maio,15,1,-1,0,desconhecido
178,38,tecnico,casado,medio,nao,sim,226,sim,nao,desconhecido,30,maio,13,3,-1,0,desconhecido
179,36,operario,solteiro,medio,nao,sim,366,sim,sim,desconhecido,30,maio,19,2,-1,0,desconhecido
180,37,gestao,divorciado,medio,nao,sim,16,sim,nao,desconhecido,30,maio,11,1,-1,0,desconhecido
181,35,gestao,solteiro,superior,nao,sim,565,sim,nao,desconhecido,30,maio,13,1,-1,0,desconhecido
182,38,administracao,divorciado,medio,nao,sim,19,sim,nao,desconhecido,30,maio,10,2,-1,0,desconhecido
183,40,servicos,casado,fundamental,nao,sim,1082,sim,nao,desconhecido,30,maio,14,2,-1,0,desconhecido
184,42,operario,divorciado,medio,nao,sim,1713,sim,nao,desconhecido,30,maio,14,2,-1,0,desconhecido
185,46,gestao,divorciado,superior,nao,sim,14481,sim,nao,desconhecido,30,maio,21,1,-1,0,desconhecido
186,35,tecnico,divorciado,medio,nao,sim,5724,sim,nao,desconhecido,30,maio,12,10,-1,0,desconhecido
187,34,tecnico,divorciado,medio,nao,sim,1451,sim,nao,desconhecido,30,maio,18,15,-1,0,desconhecido
188,32,servicos,casado,medio,nao,sim,-34,sim,nao,desconhecido,30,maio,21,2,-1,0,desconhecido
189,50,operario,casado,medio,nao,sim,3674,sim,nao,desconhecido,30,maio,15,3,-1,0,desconhecido
190,35,operario,casado,medio,nao,sim,698,sim,sim,desconhecido,30,maio,22,3,-1,0,desconhecido
191,36,tecnico,solteiro,medio,nao,sim,4136,sim,nao,desconhecido,30,maio,14,3,-1,0,desconhecido
192,53,operario,divorciado,fundamental,nao,sim,2656,sim,nao,desconhecido,30,maio,33,2,-1,0,desconhecido
193,46,gestao,solteiro,superior,nao,sim,2904,sim,nao,desconhecido,30,maio,16,2,-1,0,desconhecido
194,26,gestao,solteiro,superior,nao,sim,1004,sim,nao,desconhecido,30,maio,4,2,-1,0,desconhecido
195,45,tecnico,solteiro,medio,nao,sim,410,sim,nao,desconhecido,30,maio,15,4,-1,0,desconhecido
196,31,operario,divorciado,fundamental,nao,sim,0,sim,nao,desconhecido,30,maio,12,12,-1,0,desconhecido
197,29,gestao,solteiro,superior,nao,sim,0,sim,nao,desconhecido,30,maio,9,12,-1,0,desconhecido
198,53,operario,solteiro,medio,nao,sim,62,sim,nao,desconhecido,30,maio,17,5,-1,0,desconhecido
199,27,operario,casado,fundamental,nao,sim,416,sim,nao,desconhecido,30,maio,20,2,-1,0,desconhecido
200,39,gestao,casado,superior,nao,sim,2763,sim,nao,desconhecido,2,junho,9,2,-1,0,desconhecido
201,36,servicos,casado,medio,nao,sim,2984,sim,nao,desconhecido,2,junho,7,1,-1,0,desconhecido
202,41,operario,casado,fundamental,nao,sim,143,sim,sim,desconhecido,2,junho,11,2,-1,0,desconhecido
203,36,servicos,casado,fundamental,nao,sim,0,sim,nao,desconhecido,2,junho,17,1,-1,0,desconhecido
204,32,tecnico,casado,medio,nao,sim,696,sim,nao,desconhecido,2,junho,14,1,-1,0,desconhecido
205,35,servicos,casado,medio,nao,sim,152,sim,nao,desconhecido,2,junho,9,1,-1,0,desconhecido
206,36,gestao,solteiro,superior,nao,sim,-78,sim,nao,desconhecido,2,junho,18,1,-1,0,desconhecido
207,35,gestao,casado,superior,nao,sim,867,sim,nao,desconhecido,2,junho,4,3,-1,0,desconhecido
208,30,operario,solteiro,medio,nao,sim,953,sim,nao,desconhecido,2,junho,12,2,-1,0,desconhecido
209,42,operario,casado,medio,nao,sim,443,sim,nao,desconhecido,2,junho,11,5,-1,0,desconhecido
210,42,tecnico,solteiro,medio,sim,sim,-1129,sim,nao,desconhecido,2,junho,9,5,-1,0,desconhecido
211,32,operario,casado,fundamental,nao,sim,415,sim,nao,desconhecido,2,junho,13,4,-1,0,desconhecido
212,29,operario,solteiro,medio,nao,sim,260,sim,nao,desconhecido,2,junho,12,14,-1,0,desconhecido
213,44,gestao,divorciado,superior,sim,sim,-411,sim,nao,desconhecido,2,junho,7,4,-1,0,desconhecido
214,32,tecnico,solteiro,medio,nao,sim,1279,sim,nao,desconhecido,3,junho,20,3,-1,0,desconhecido
215,31,operario,casado,medio,nao,sim,86,sim,sim,desconhecido,3,junho,16,2,-1,0,desconhecido
216,40,operario,casado,medio,sim,sim,-754,sim,sim,desconhecido,3,junho,16,3,-1,0,desconhecido
217,43,operario,casado,medio,nao,sim,0,nao,nao,desconhecido,3,junho,17,7,-1,0,desconhecido
218,27,gestao,solteiro,medio,nao,sim,178,sim,nao,desconhecido,3,junho,12,2,-1,0,desconhecido
219,37,servicos,solteiro,medio,nao,sim,278,sim,nao,desconhecido,3,junho,17,3,-1,0,desconhecido
220,23,servicos,solteiro,medio,nao,sim,425,sim,nao,desconhecido,3,junho,13,1,-1,0,desconhecido
221,25,gestao,casado,fundamental,nao,sim,168,sim,nao,desconhecido,3,junho,13,1,-1,0,desconhecido
222,26,operario,solteiro,medio,sim,sim,-36,sim,nao,desconhecido,3,junho,8,2,-1,0,desconhecido
223,47,operario,divorciado,fundamental,nao,sim,126,sim,nao,desconhecido,3,junho,41,2,-1,0,desconhecido
224,35,administracao,casado,medio,nao,sim,-87,sim,nao,desconhecido,3,junho,23,7,-1,0,desconhecido
225,32,tecnico,solteiro,superior,nao,sim,6281,sim,nao,desconhecido,3,junho,22,4,-1,0,desconhecido
226,45,gestao,divorciado,medio,nao,sim,644,sim,nao,desconhecido,4,junho,11,1,-1,0,desconhecido
227,30,administracao,divorciado,medio,nao,sim,377,sim,nao,desconhecido,4,junho,9,15,-1,0,desconhecido
228,29,servicos,solteiro,medio,nao,sim,-271,sim,nao,desconhecido,4,junho,10,1,-1,0,desconhecido
229,38,operario,casado,fundamental,nao,sim,5839,sim,nao,desconhecido,4,junho,16,2,-1,0,desconhecido
230,23,operario,solteiro,medio,nao,sim,492,sim,nao,desconhecido,4,junho,11,1,-1,0,desconhecido
231,27,gestao,solteiro,superior,nao,sim,99,sim,nao,desconhecido,4,junho,13,2,-1,0,desconhecido
232,27,gestao,solteiro,superior,sim,sim,-713,sim,nao,desconhecido,4,junho,9,2,-1,0,desconhecido
233,29,servicos,solteiro,medio,nao,sim,32,sim,nao,desconhecido,4,junho,9,1,-1,0,desconhecido
234,30,operario,casado,superior,nao,sim,543,sim,sim,desconhecido,4,junho,24,6,-1,0,desconhecido
235,36,operario,casado,fundamental,nao,sim,403,sim,nao,desconhecido,4,junho,15,1,-1,0,desconhecido
236,35,administracao,divorciado,medio,nao,sim,437,sim,nao,desconhecido,4,junho,15,1,-1,0,desconhecido
237,36,operario,casado,medio,nao,sim,1772,nao,nao,desconhecido,5,junho,3,1,-1,0,desconhecido
238,59,operario,divorciado,fundamental,nao,sim,-88,sim,nao,desconhecido,5,junho,15,2,-1,0,desconhecido
239,47,operario,casado,medio,nao,sim,0,nao,nao,desconhecido,5,junho,24,1,-1,0,desconhecido
240,58,operario,casado,superior,nao,sim,853,nao,nao,desconhecido,5,junho,19,2,-1,0,desconhecido
241,37,gestao,solteiro,superior,nao,sim,240,nao,nao,desconhecido,5,junho,19,1,-1,0,desconhecido
242,46,administracao,solteiro,medio,nao,sim,849,sim,nao,desconhecido,5,junho,8,2,-1,0,desconhecido
243,43,operario,solteiro,medio,nao,sim,318,sim,nao,desconhecido,5,junho,12,2,-1,0,desconhecido
244,27,gestao,solteiro,superior,nao,sim,703,sim,nao,desconhecido,5,junho,10,3,-1,0,desconhecido
245,38,servicos,divorciado,medio,nao,sim,61,nao,nao,desconhecido,5,junho,11,1,-1,0,desconhecido
246,53,operario,casado,fundamental,nao,sim,104,nao,sim,desconhecido,5,junho,12,1,-1,0,desconhecido
247,47,operario,casado,medio,nao,sim,1996,nao,nao,desconhecido,5,junho,13,2,-1,0,desconhecido
